Sample time: 300 
Sample period: 10 
Video path: C:/Users/SIMON/Desktop/ME/FREELANCE/fiver/auto_tennis_hl_reel_gen/videos/sample_2.mp4 
output directory path: C:/Users/SIMON/Desktop/OUTPUT 
point offset: 15 
odd game offset: 70 

 
Resolution: (360 x 640) 
 
[['0', '0'], ['0', '0'], 92] at (00:00:00)  
[['0', '0'], ['0', '0'], 92] at (00:00:05)  
[['0', '0'], ['0', '0'], 92] at (00:00:15)  
[['0', '0'], ['0', '0'], 92] at (00:00:25)  
[['0', '0'], ['0', '0'], 92] at (00:00:35)  
[['0', '0'], ['0', '0'], 92] at (00:00:45)  
[['0', '0'], ['0', '0'], 92] at (00:00:55)  
[['0', '15'], ['0', '0'], 92] at (00:01:05)  
[['0', '30'], ['0', '0'], 92] at (00:01:15)  
[['0', '30'], ['0', '0'], 92] at (00:01:25)  
[['0', '30'], ['0', '15'], 92] at (00:01:35)  
[['0', '30'], ['0', '15'], 92] at (00:01:45)  
[['0', '30'], ['0', '15'], 92] at (00:01:55)  
[['0', '30'], ['0', '15'], 92] at (00:02:05)  
[['0', '30'], ['0', '30'], 92] at (00:02:15)  
[['0', '30'], ['0', '30'], 92] at (00:02:25)  
[['0', '30'], ['0', '40'], 92] at (00:02:35)  
[['0', '30'], ['0', '40'], 92] at (00:02:45)  
[['0', '40'], ['0', '40'], 92] at (00:02:55)  
[['0', '40'], ['0', '40'], 92] at (00:03:05)  
[['0', '40'], ['0', '40'], 92] at (00:03:15)  
[['0', '40'], ['0', '40'], 92] at (00:03:25)  
[['0', '40'], ['0', 'A'], 92] at (00:03:35)  
[['0', '40'], ['0', 'A'], 92] at (00:03:45)  
[['0', '40'], ['0', 'A'], 92] at (00:03:55)  
[['0', '40'], ['0', 'A'], 92] at (00:04:05)  
[['0', '40'], ['0', 'A'], 92] at (00:04:15)  
[['0', '40'], ['0', 'A'], 92] at (00:04:25)  
[['0', '40'], ['0', '40'], 92] at (00:04:35)  
[['0', '40'], ['0', '40'], 92] at (00:04:45)  
